"","jurisdiction","year","state_population","murder_index","rape_index","robbery_index","agg_assault_index","total_violent_index","burglary_index","larceny_index","vehicle_theft_index","property_crime_index","crime_rate"
"95","TEXAS",2002,21736925,5.98980766598771,39.1407708312008,172.885539237956,361.725497051676,579.74161478682,978.068425041721,3169.68476451936,472.375922537341,4620.12911209842,5199.87072688524
"96","UTAH",2002,2318789,2.02692008630367,40.6677796039226,49.1635935826848,144.816971272505,236.675264545416,652.237008196951,3225.60612457623,333.018657583765,4210.86179035695,4447.53705490237
"97","VERMONT",2002,616408,2.10899274506496,20.4410066060142,12.4917262592309,71.7057533322085,106.747478942519,566.021206733203,1733.26757602108,124.75503238115,2424.04381513543,2530.79129407795
"98","VIRGINIA",2002,7287829,5.3239448949749,25.2338522212857,95.5154134379388,165.591152042673,291.664362596872,435.753912447726,2161.79605750903,253.546014869449,2851.09598482621,3142.76034742308
"99","WASHINGTON",2002,6067060,3.03277040279806,45.0630123980973,95.5487501359802,201.893503608008,345.538036544883,905.677543983412,3189.78220093422,667.42376043751,4762.88350535515,5108.42154190003
"100","WEST VIRGINIA",2002,1804884,3.15809769492111,18.1729130514759,36.4012313256697,176.13320302025,233.865445092316,536.156340241256,1524.97335008787,215.96955815443,2277.09924848356,2510.96469357588
"101","WISCONSIN",2002,5439692,2.83104263991417,22.7402580881418,86.6409348176331,112.763737358659,224.975972904348,513.37465430028,2267.86737190267,247.403713298474,3028.64573950143,3253.62171240578
"102","WYOMING",2002,498830,3.00703646532887,29.6694264579115,18.643626085039,222.119760238959,273.439849247238,490.748351141672,2666.84040655133,148.948539582623,3306.53729727562,3579.97714652286
"103","FEDERAL",2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","ALABAMA",2003,4503726,6.63894739600056,36.7695548086185,134.066770491811,251.747108949346,429.222381645775,960.204950301151,2754.14179281777,332.102796662141,4046.44953978106,4475.67192142684
"105","ALASKA",2003,648280,6.01591904732523,93.3238724008145,68.7974332078731,429.906830381934,598.044055037947,597.581292034306,2784.4449929043,379.619917319677,3761.64620225828,4359.69025729623
"106","ARIZONA",2003,5579222,7.90432787940684,33.2662869482519,136.560258760092,335.566500132097,513.297373719848,1050.55866212171,3561.87654837897,1021.59405020987,5634.02926071054,6147.32663443039
"107","ARKANSAS",2003,2727774,6.59878714292313,33.3971949289054,81.6416609293878,334.741807789062,456.379450790278,917.084773152028,2495.11139852495,220.216190930774,3632.41236260775,4088.79181339803
